example_id                                                  | status | run_time        |
./spec/models/user_spec.rb[1:4]                             | passed | 0.01485 seconds |
./spec/models/user_spec.rb[1:5]                             | passed | 0.01238 seconds |
./spec/models/user_spec.rb[1:6]                             | passed | 0.07192 seconds |
./spec/models/workflow_stage_spec.rb[1:1]                   | passed | 0.01649 seconds |
./spec/models/workflow_stage_spec.rb[1:2]                   | passed | 0.01675 seconds |
./spec/models/workflow_stage_spec.rb[1:3:1]                 | passed | 0.00945 seconds |
./spec/models/workflow_stage_spec.rb[1:3:2]                 | passed | 0.01327 seconds |
./spec/models/workflow_stage_spec.rb[1:4]                   | passed | 0.00479 seconds |
./spec/models/workflow_stage_spec.rb[1:5]                   | passed | 0.01313 seconds |
./spec/models/workflow_stage_spec.rb[1:6]                   | passed | 0.02252 seconds |
./spec/policies/application_policy_spec.rb[1:1:1]           | passed | 0.01229 seconds |
./spec/policies/application_policy_spec.rb[1:1:2]           | passed | 0.00847 seconds |
./spec/policies/application_policy_spec.rb[1:2:1]           | passed | 0.007 seconds   |
./spec/queries/application_query_spec.rb[1:1:1]             | passed | 0.00371 seconds |
./spec/requests/api/v1/auth/sessions_spec.rb[1:1:1]         | passed | 0.03781 seconds |
./spec/requests/api/v1/auth/sessions_spec.rb[1:1:2]         | passed | 0.08124 seconds |
./spec/requests/api/v1/auth/sessions_spec.rb[1:1:3]         | passed | 0.02748 seconds |
./spec/requests/api/v1/auth/sessions_spec.rb[1:1:4]         | passed | 0.01714 seconds |
./spec/requests/api/v1/auth/sessions_spec.rb[1:2:1]         | passed | 0.06341 seconds |
./spec/requests/api/v1/auth/sessions_spec.rb[1:2:2]         | passed | 0.0624 seconds  |
./spec/requests/api/v1/auth/sessions_spec.rb[1:2:3]         | passed | 0.11089 seconds |
./spec/requests/api/v1/auth/sessions_spec.rb[1:3:1]         | passed | 0.1801 seconds  |
./spec/requests/api/v1/health_ready_spec.rb[1:1]            | passed | 0.01474 seconds |
./spec/requests/api/v1/health_ready_spec.rb[1:2]            | passed | 0.02701 seconds |
./spec/requests/api/v1/health_spec.rb[1:1:1]                | passed | 0.00587 seconds |
./spec/requests/api/v1/health_spec.rb[1:1:2]                | passed | 0.0062 seconds  |
./spec/requests/api/v1/health_spec.rb[1:2:1]                | passed | 0.06564 seconds |
./spec/requests/api/v1/health_spec.rb[1:2:2]                | passed | 0.00961 seconds |
./spec/requests/api/v1/locale_handling_spec.rb[1:1]         | passed | 0.02233 seconds |
./spec/requests/api/v1/locale_handling_spec.rb[1:2]         | passed | 0.02115 seconds |
./spec/requests/api/v1/locale_handling_spec.rb[1:3]         | passed | 0.02227 seconds |
./spec/requests/api/v1/locale_handling_spec.rb[1:4]         | passed | 0.02114 seconds |
./spec/requests/api/v1/locale_handling_spec.rb[1:5]         | passed | 0.01793 seconds |
./spec/requests/api/v1/users/profile_spec.rb[1:1]           | passed | 0.0438 seconds  |
./spec/requests/api/v1/users/profile_spec.rb[1:2]           | passed | 0.0185 seconds  |
./spec/requests/application_controller_spec.rb[1:1]         | passed | 1.12 seconds    |
./spec/requests/application_controller_spec.rb[1:2]         | passed | 0.0198 seconds  |
./spec/requests/application_controller_spec.rb[1:3]         | passed | 0.02101 seconds |
./spec/requests/openapi_spec.rb[1:1]                        | passed | 0.00935 seconds |
./spec/services/localization/locale_resolver_spec.rb[1:1:1] | passed | 0.00512 seconds |
./spec/services/localization/locale_resolver_spec.rb[1:1:2] | passed | 0.00723 seconds |
./spec/services/localization/locale_resolver_spec.rb[1:1:3] | passed | 0.00652 seconds |
./spec/services/localization/locale_resolver_spec.rb[1:1:4] | passed | 0.00514 seconds |
./spec/services/localization/locale_resolver_spec.rb[1:1:5] | passed | 0.00534 seconds |
./spec/services/localization/locale_resolver_spec.rb[1:1:6] | passed | 0.00544 seconds |
./spec/services/localization/locale_resolver_spec.rb[1:1:7] | passed | 0.00642 seconds |
./spec/services/localization/locale_resolver_spec.rb[1:1:8] | passed | 0.00714 seconds |
./spec/services/localization/locale_resolver_spec.rb[1:1:9] | passed | 0.0094 seconds  |
